Date,Time,Temperature,DewPoint,Humidity,Wind,WinSpeed,WindGust,Pressure,Precip.,Condition
2018-04-04,10:53 PM,49,17,28,SSW,6,0,24.56,0.0,Cloudy
2018-04-04,11:53 PM,46,20,35,SW,6,0,24.56,0.0,Mostly Cloudy
2018-04-05,11:53 PM,44,33,65,E,14,0,24.53,0.0,Cloudy
2018-04-07,11:53 AM,42,33,70,E,8,0,24.47,0.0,Mostly Cloudy
2018-04-07,12:53 PM,47,35,63,NE,9,17,24.46,0.0,Partly Cloudy
2018-04-07,1:53 PM,51,36,56,E,10,20,24.43,0.0,Mostly Cloudy
2018-04-07,2:53 PM,54,36,51,ENE,12,0,24.40,0.0,Mostly Cloudy
2018-04-07,3:53 PM,55,35,47,ENE,13,0,24.38,0.0,Cloudy
2018-04-07,4:53 PM,55,34,45,NE,14,0,24.38,0.0,Cloudy
2018-04-07,5:53 PM,57,34,42,NNE,12,0,24.36,0.0,Mostly Cloudy
2018-04-07,6:53 PM,50,36,59,NNW,15,0,24.36,0.0,Cloudy
2018-04-07,7:53 PM,46,35,66,NW,6,0,24.34,0.0,Mostly Cloudy
2018-04-07,8:53 PM,39,33,79,SSE,8,0,24.32,0.0,Mostly Cloudy
2018-04-07,9:53 PM,42,35,76,SSE,7,0,24.29,0.0,Mostly Cloudy
2018-04-07,10:53 PM,50,37,61,SSW,17,0,24.27,0.0,Cloudy
2018-04-07,11:53 PM,52,37,57,S,17,0,24.25,0.0,Cloudy
2018-04-06,11:53 AM,23,22,96,NE,18,0,24.65,0.0,Light Snow
2018-04-06,12:53 PM,23,21,92,NE,15,0,24.65,0.0,Light Snow
2018-04-06,1:53 PM,24,21,88,ENE,14,0,24.64,0.0,Light Snow
2018-04-06,2:53 PM,24,21,88,E,14,0,24.61,0.0,Light Snow
2018-04-08,7:53 PM,54,22,29,W,17,26,24.39,0.0,Mostly Cloudy
2018-04-08,8:53 PM,52,24,34,W,12,0,24.44,0.0,Mostly Cloudy
2018-04-08,9:53 PM,51,26,38,NNW,10,0,24.47,0.0,Mostly Cloudy
2018-04-08,10:53 PM,48,25,41,N,12,0,24.50,0.0,Mostly Cloudy
2018-04-08,11:53 PM,44,31,60,E,8,0,24.55,0.0,Cloudy
2018-04-09,8:53 AM,33,31,92,S,3,0,24.72,0.0,Mostly Cloudy
2018-04-09,9:53 AM,36,33,89,SE,3,0,24.75,0.0,Mostly Cloudy
2018-04-09,10:53 AM,42,35,76,E,6,0,24.75,0.0,Mostly Cloudy
2018-04-09,11:53 AM,46,32,58,VAR,6,0,24.74,0.0,Mostly Cloudy
2018-04-09,12:53 PM,50,33,52,NE,8,0,24.74,0.0,Mostly Cloudy
2018-04-09,1:53 PM,50,31,48,NE,10,0,24.74,0.0,Partly Cloudy
2018-04-09,2:53 PM,50,29,44,CALM,0,0,24.73,0.0,Partly Cloudy
2018-04-09,3:53 PM,54,30,40,VAR,5,0,24.72,0.0,Partly Cloudy
2018-04-09,4:53 PM,54,29,38,ENE,10,0,24.72,0.0,Partly Cloudy
2018-04-09,5:53 PM,53,28,38,E,5,0,24.73,0.0,Partly Cloudy
2018-04-09,6:53 PM,49,29,46,E,7,0,24.74,0.0,Partly Cloudy
2018-04-09,7:53 PM,44,31,60,ESE,8,0,24.74,0.0,Mostly Cloudy
2018-04-12,9:53 PM,49,29,46,N,25,41,24.16,0.0,Cloudy / Windy
2018-04-12,10:53 PM,44,28,53,N,28,40,24.16,0.0,Cloudy / Windy
2018-04-12,11:53 PM,42,28,58,N,23,37,24.17,0.0,Thunder / Wintry Mix / Windy
2018-04-11,10:53 PM,50,24,36,SSE,15,0,24.37,0.0,Partly Cloudy
2018-04-11,11:53 PM,53,22,30,S,15,0,24.36,0.0,Fair
